182 n/a 574
1867 dec 519 5595
1868 inc 787 5600
1860 inc 788 5605
1872 inc 789 5626
1873 inc 790 5649
1881 inc 791 5669
1895 inc 792 5680
1893 inc 793 5684
1892 inc 794 5692
1899 inc 795 5707
1901 inc 796 5724
1907 inc 797 5729
1916 inc 798 5738
1906 inc 799 5739
1916 inc 800 5761
1917 inc 801 5778
1928 inc 802 5782
1933 dec 520 5778
1921 dec 521 5770
1924 inc 803 5784
1925 inc 804 5812
1935 inc 805 5840
1952 inc 806 5864
1953 inc 807 5872
1959 inc 808 5877
1960 inc 809 5880
1958 inc 810 5908
1962 inc 811 5945
1988 inc 812 5968
1995 eq 38 5968
1985 dec 522 5959
1988 inc 813 5963
1986 inc 814 5978
1989 inc 815 5996
2003 inc 816 6016
2004 inc 817 6024
2009 inc 818 6040
2011 inc 819 6052
2020 inc 820 6081
2021 inc 821 6100
2040 inc 822 6103
2039 dec 523 6092
2024 dec 524 6083
2029 inc 823 6096
2030 inc 824 6105
2037 inc 825 6112
2038 inc 826 6115
2037 eq 39 6115
2040 inc 827 6120
2038 inc 828 6125
2042 inc 829 6133
2045 inc 830 6142
2046 inc 831 6143
2051 dec 525 6142
2046 dec 526 6125
2045 dec 527 6112
2034 dec 528 6078
2033 dec 529 6059
2011 dec 530 6051
2015 eq 40 6051
2025 dec 531 6048
2011 dec 532 6034
2012 dec 533 6016
2011 dec 534 6011
1993 dec 535 5999
2007 dec 536 5981
1999 dec 537 5944
1975 dec 538 5930
1970 inc 832 5945
1985 inc 833 5964
1990 inc 834 5965
1989 dec 539 5964
1986 inc 835 5966
1989 inc 836 5975
1991 dec 540 5964
1995 dec 541 5949
1978 dec 542 5910
1976 dec 543 5890
1956 dec 544 5859
1958 dec 545 5833
1945 dec 546 5808
1930 dec 547 5794
1933 dec 548 5790
1931 inc 837 5794
1926 inc 838 5799
1937 inc 839 5808
1936 inc 840 5813
1935 eq 41 5813
1942 dec 549 5812
1936 dec 550 5788
1934 dec 551 5771
1918 dec 552 5760
1919 inc 841 5771
1923 inc 842 5787
1929 inc 843 5816
1935 inc 844 5848
1952 inc 845 5872
1961 inc 846 5880
1959 dec 553 5866
1960 dec 554 5855
1947 dec 555 5844
1948 dec 556 5843
1949 dec 557 5839
1946 inc 847 5851
1944 dec 558 5834
1961 dec 559 5822
1929 dec 560 5805
1932 inc 848 5809
1944 dec 561 5805
1933 dec 562 5781
1928 dec 563 5737
1920 dec 564 5703
1889 dec 565 5669
1894 inc 849 5686
1886 inc 850 5692
1906 inc 851 5701
1900 dec 566 5685
1895 inc 852 5686
1890 inc 853 5695
1901 inc 854 5708
1904 dec 567 5705
1903 inc 855 5722
1898 inc 856 5741
1921 inc 857 5774
1922 inc 858 5786
1931 inc 859 5803
1933 inc 860 5812
1939 inc 861 5818
1940 dec 568 5806
1939 dec 569 5786
1927 dec 570 5781
1920 inc 862 5801
1934 inc 863 5827
1947 inc 864 5849
1946 inc 865 5857
1956 inc 866 5860
1955 dec 571 5855
1949 dec 572 5853
1951 inc 867 5855
1953 dec 573 5853
1951 dec 574 5852
1949 dec 575 5843
1952 dec 576 5839
1942 dec 577 5820
1945 dec 578 5812
1933 dec 579 5784
1934 dec 580 5778
1917 eq 42 5778
1927 dec 581 5774
1934 dec 582 5761
1913 dec 583 5738
1914 dec 584 5737
1911 inc 868 5743
1912 inc 869 5751
1920 inc 870 5754
1919 dec 585 5751
1915 inc 871 5775
1917 inc 872 5811
1943 inc 873 5846
1951 inc 874 5848
1952 dec 586 5847
1945 dec 587 5824
1950 dec 588 5805
1929 dec 589 5788
1926 inc 875 5794
1933 inc 876 5817
1935 inc 877 5831
1949 inc 878 5862
1947 inc 879 5880
1966 dec 590 5878
1967 inc 880 5884
1945 inc 881 5902
1972 inc 882 5919
1985 dec 591 5911
1962 dec 592 5882
1964 dec 593 5862
1956 dec 594 5841
1942 dec 595 5822
1943 dec 596 5816
1937 dec 597 5806
1936 inc 883 5810
1933 inc 884 5823
1941 inc 885 5855
1949 inc 886 5882
1965 inc 887 5902
1968 inc 888 5907
1969 dec 598 5896
1970 dec 599 5883
1957 dec 600 5870
1956 inc 889 5875
1957 dec 601 5858
1962 dec 602 5843
1939 dec 603 5838
1942 inc 890 5855
1957 inc 891 5874
1956 inc 892 5877
1961 inc 893 5880
1960 dec 604 5875
1959 dec 605 5872
1956 inc 894 5896
1957 inc 895 5921
1983 inc 896 5943
1981 dec 606 5936
1979 dec 607 5924
1976 dec 608 5919
1969 dec 609 5895
1974 dec 610 5864
1952 dec 611 5842
1938 inc 897 5845
1952 inc 898 5859
1955 inc 899 5865
1952 dec 612 5862
1958 inc 900 5874
1952 inc 901 5881
1964 inc 902 5885
1965 dec 613 5880
1956 dec 614 5875
1959 inc 903 5881
1960 inc 904 5883
1962 eq 43 5883
1961 inc 905 5888
1960 inc 906 5895
1967 inc 907 5914
1968 inc 908 5936
1979 inc 909 5958
1989 inc 910 5972
1990 inc 911 5987
1993 inc 912 6000
2004 inc 913 6019
2003 inc 914 6021
2012 dec 615 6012
2006 dec 616 5998
1994 dec 617 5980
1998 dec 618 5977
1988 dec 619 5966
1991 dec 620 5964
1987 dec 621 5960
1986 dec 622 5958
1987 dec 623 5954
1985 dec 624 5952
1982 inc 915 5955
1985 inc 916 5963
1988 dec 625 5962
1990 dec 626 5952
1984 dec 627 5929
1978 dec 628 5923
1967 inc 917 5935
1978 inc 918 5952
1990 inc 919 5959
1984 dec 629 5953
1985 inc 920 5954
1984 inc 921 5978
1985 inc 922 6001
2009 inc 923 6016
2007 dec 630 5999
2000 inc 924 6004
1992 inc 925 6015
2012 inc 926 6043
2011 inc 927 6052
2020 inc 928 6063
2021 dec 631 6060
2022 dec 632 6039
2017 dec 633 5992
2000 dec 634 5964
1975 dec 635 5952
1989 eq 44 5952
1988 dec 636 5917
1975 dec 637 5884
1954 dec 638 5856
1955 eq 45 5856
1947 inc 929 5872
1954 inc 930 5895
1971 inc 931 5914
1970 inc 932 5924
1973 inc 933 5936
1981 inc 934 5947
1982 inc 935 5962
1984 inc 936 5972
1996 inc 937 5982
1992 eq 46 5982
1994 inc 938 5987
1996 inc 939 5994
1997 inc 940 5996
2001 inc 941 5999
1998 dec 639 5996
2000 dec 640 5995
1998 dec 641 5994
1997 inc 942 6003
1999 inc 943 6007
2007 inc 944 6015
2001 dec 642 6013
2007 inc 945 6015
2005 dec 643 6009
2003 dec 644 6007
2001 dec 645 6003
2003 dec 646 5999
1999 dec 647 5976
1997 dec 648 5958
1980 inc 946 5960
1981 inc 947 5985
1999 inc 948 6015
2005 inc 949 6032
2011 inc 950 6044
2016 inc 951 6059
2017 inc 952 6070
2026 inc 953 6073
2027 dec 649 6068
2020 dec 650 6064
2021 inc 954 6068
2023 inc 955 6072
2024 inc 956 6073
2025 inc 957 6074
2024 inc 958 6078
2025 inc 959 6087
2029 inc 960 6097
2033 inc 961 6107
2035 inc 962 6125
2039 inc 963 6142
2051 inc 964 6157
2052 inc 965 6171
2054 inc 966 6201
2065 inc 967 6231
2082 inc 968 6267
2084 inc 969 6282
2101 inc 970 6294
2097 dec 651 6290
2096 dec 652 6285
2097 inc 971 6293
2092 inc 972 6301
2104 inc 973 6310
2105 dec 653 6298
2101 dec 654 6287
2092 dec 655 6286
2094 inc 974 6295
2100 inc 975 6296
2101 dec 656 6292
2095 dec 657 6284
2096 inc 976 6307
2093 inc 977 6327
2118 inc 978 6386
2116 inc 979 6429
2152 inc 980 6475
2161 inc 981 6486
2162 inc 982 6490
2163 inc 983 6502
2165 eq 47 6502
2174 inc 984 6520
2163 inc 985 6533
2183 dec 658 6525
2187 dec 659 6498
2155 dec 660 6469
2156 inc 986 6476
2158 dec 661 6475
2162 dec 662 6465
2155 dec 663 6450
2148 dec 664 6444
2147 eq 48 6444
2149 dec 665 6439
2148 dec 666 6434
2142 dec 667 6426
2144 dec 668 6413
2140 dec 669 6401
2129 dec 670 6394
2132 inc 987 6402
2133 inc 988 6413
2137 inc 989 6420
2143 inc 990 6433
2140 dec 671 6425
2150 dec 672 6419
2135 dec 673 6402
2134 inc 991 6403
2133 inc 992 6414
2136 inc 993 6417
2145 inc 994 6418
2136 dec 674 6413
2137 inc 995 6418
2140 dec 675 6399
2141 dec 676 6384
2118 dec 677 6349
2125 dec 678 6335
2106 dec 679 6299
2104 dec 680 6281
2089 dec 681 6253
2088 dec 682 6227
2076 dec 683 6199
2063 dec 684 6177
2060 dec 685 6161
2054 dec 686 6147
2047 dec 687 6140
2046 inc 996 6143
2047 inc 997 6148
2050 dec 688 6147
2051 inc 998 6148
2046 inc 999 6158
2051 inc 1000 6172
2061 inc 1001 6187
2060 inc 1002 6194
2066 inc 1003 6206
2068 inc 1004 6213
2072 inc 1005 6228
2073 inc 1006 6254
2083 inc 1007 6282
2098 inc 1008 6295
2101 eq 49 6295
2096 dec 689 6293
2098 inc 1009 6300
2099 dec 690 6295
2103 dec 691 6288
2093 inc 1010 6296
2092 inc 1011 6332
2111 inc 1012 6392
2129 inc 1013 6440
2152 inc 1014 6466
2159 inc 1015 6477
2155 dec 692 6473
2163 inc 1016 6476
2155 eq 50 6476
2158 inc 1017 6487
2163 inc 1018 6499
2166 dec 693 6497
2170 dec 694 6486
2161 dec 695 6475
2155 dec 696 6461
2159 dec 697 6452
2147 dec 698 6447
2146 inc 1019 6465
2154 inc 1020 6491
2165 inc 1021 6500
2172 inc 1022 6514
2163 inc 1023 6524
2179 inc 1024 6541
2182 dec 699 6530
2180 dec 700 6520
2168 dec 701 6519
2172 inc 1025 6532
2179 inc 1026 6543
2181 dec 702 6540
2183 dec 703 6506
2176 dec 704 6493
2147 dec 705 6489
2170 inc 1027 6515
2172 dec 706 6498
2173 dec 707 6484
2153 dec 708 6451
2158 dec 709 6433
2140 dec 710 6411
2135 dec 711 6405
2136 dec 712 6400
2134 dec 713 6398
2130 inc 1028 6420
2134 inc 1029 6451
2156 inc 1030 6479
2161 inc 1031 6486
2162 dec 714 6474
2163 dec 715 6462
2149 dec 716 6458
2150 inc 1032 6469
2159 inc 1033 6480
2160 inc 1034 6499
2161 inc 1035 6524
2178 inc 1036 6546
2185 dec 717 6526
2183 dec 718 6514
2158 dec 719 6499
2173 inc 1037 6511
2168 dec 720 6503
2170 inc 1038 6516
2165 inc 1039 6519
2181 inc 1040 6529
2173 dec 721 6526
2175 inc 1041 6536
2178 inc 1042 6546
2183 inc 1043 6552
2185 inc 1044 6558
2184 inc 1045 6575
2189 inc 1046 6594
2202 inc 1047 6596
2203 dec 722 6570
2191 dec 723 6544
2176 dec 724 6516
2177 dec 725 6490
2163 dec 726 6472
2150 dec 727 6467
2159 inc 1048 6470
2158 dec 728 6450
2153 dec 729 6428
2139 dec 730 6410
2136 inc 1049 6414
2135 inc 1050 6433
2143 inc 1051 6464
2155 inc 1052 6492
2166 inc 1053 6520
2171 inc 1054 6544
2183 inc 1055 6553
2190 eq 51 6553
2180 dec 731 6528
2183 dec 732 6514
2165 dec 733 6498
2166 inc 1056 6501
2167 dec 734 6495
2168 dec 735 6489
2160 inc 1057 6495
2161 inc 1058 6510
2174 inc 1059 6521
2175 inc 1060 6523
2172 inc 1061 6546
2176 inc 1062 6579
2198 inc 1063 6613
2205 inc 1064 6626
2210 inc 1065 6644
2211 inc 1066 6683
2223 inc 1067 6726
2249 inc 1068 6770
2254 inc 1069 6781
2267 inc 1070 6790
2260 dec 736 6779
2263 dec 737 6777
2256 inc 1071 6779
2258 inc 1072 6801
2265 inc 1073 6822
2278 inc 1074 6835
2279 dec 738 6828
2278 dec 739 6822
2271 eq 52 6822
2273 inc 1075 6830
2278 dec 740 6829
2279 dec 741 6825
2272 inc 1076 6832
2274 inc 1077 6833
2286 inc 1078 6838
2273 dec 742 6830
2279 dec 743 6821
2278 dec 744 6805
2264 dec 745 6791
2263 inc 1079 6801
2264 inc 1080 6825
2274 inc 1081 6869
2287 inc 1082 6904
2308 inc 1083 6927
2309 dec 746 6924
2310 dec 747 6919
2305 dec 748 6912
2304 eq 53 6912
2303 inc 1084 6925
2305 inc 1085 6938
2317 inc 1086 6951
2316 inc 1087 6953
2318 inc 1088 6957
2319 inc 1089 6961
2320 inc 1090 6968
2322 inc 1091 6983
2326 inc 1092 7020
2335 inc 1093 7045
2359 inc 1094 7063
2351 dec 749 7058
2353 inc 1095 7063
2354 dec 750 7051
2356 dec 751 7035
2341 dec 752 7012
2338 dec 753 7005
2333 dec 754 7000
2334 inc 1096 7011
2333 eq 54 7011
2344 inc 1097 7022
2334 dec 755 7001
2344 inc 1098 7008
2323 dec 756 6989
2341 dec 757 6983
2325 dec 758 6969
2317 dec 759 6967
2327 inc 1099 6971
2323 dec 760 6956
2321 dec 761 6930
2312 dec 762 6911
2297 dec 763 6903
2302 inc 1100 6921
2304 inc 1101 6927
2315 inc 1102 6940
2308 inc 1103 6955
2317 inc 1104 6997
2330 inc 1105 7040
2350 inc 1106 7051
2360 dec 764 7043
2341 dec 765 7024
2342 inc 1107 7025
2341 inc 1108 7040
2342 inc 1109 7062
2357 inc 1110 7073
2363 dec 766 7071
2353 dec 767 7060
2355 inc 1111 7061
2352 inc 1112 7066
2354 inc 1113 7075
2360 dec 768 7069
2361 dec 769 7063
2348 dec 770 7057
2354 dec 771 7054
2355 dec 772 7046
2345 dec 773 7038
2346 inc 1114 7053
2347 inc 1115 7065
2360 inc 1116 7078
2358 inc 1117 7079
2360 inc 1118 7085
2361 inc 1119 7090
2364 dec 774 7083
2365 dec 775 7080
2354 dec 776 7077
2361 inc 1120 7096
2362 inc 1121 7110
2373 inc 1122 7121
2375 dec 777 7113
2373 dec 778 7084
2365 dec 779 7073
2346 dec 780 7067
2362 inc 1123 7078
2359 inc 1124 7089
2357 inc 1125 7127
2373 inc 1126 7168
2397 inc 1127 7189
2398 dec 781 7188
2394 inc 1128 7191
2396 inc 1129 7218
2401 inc 1130 7236
2421 inc 1131 7255
2414 dec 782 7240
2420 dec 783 7233
2406 dec 784 7216
2407 dec 785 7212
2403 dec 786 7206
2402 dec 787 7200
2401 dec 788 7194
2397 inc 1132 7213
2396 inc 1133 7260
2420 inc 1134 7310
2444 inc 1135 7318
2446 dec 789 7301
2428 dec 790 7283
2427 inc 1136 7286
2428 inc 1137 7288
2431 inc 1138 7293
2429 inc 1139 7325
2433 inc 1140 7383
2463 inc 1141 7445
2487 inc 1142 7506
2495 inc 1143 7554
2524 inc 1144 7601
2535 inc 1145 7629
2542 inc 1146 7669
2552 inc 1147 7700
2575 inc 1148 7722
2573 dec 791 7715
2574 inc 1149 7718
2568 inc 1150 7727
