182 n/a
2153 dec 723
2139 dec 724
2136 dec 725
2135 dec 726
2143 inc 1106
2155 inc 1107
2166 inc 1108
2171 inc 1109
2183 inc 1110
2190 inc 1111
2180 dec 727
2183 inc 1112
2165 dec 728
2166 inc 1113
2167 inc 1114
2168 inc 1115
2160 dec 729
2161 inc 1116
2174 inc 1117
2175 inc 1118
2172 dec 730
2176 inc 1119
2198 inc 1120
2205 inc 1121
2210 inc 1122
2211 inc 1123
2223 inc 1124
2249 inc 1125
2254 inc 1126
2267 inc 1127
2260 dec 731
2263 inc 1128
2256 dec 732
2258 inc 1129
2265 inc 1130
2278 inc 1131
2279 inc 1132
2278 dec 733
2271 dec 734
2273 inc 1133
2278 inc 1134
2279 inc 1135
2272 dec 735
2274 inc 1136
2286 inc 1137
2273 dec 736
2279 inc 1138
2278 dec 737
2264 dec 738
2263 dec 739
2264 inc 1139
2274 inc 1140
2287 inc 1141
2308 inc 1142
2309 inc 1143
2310 inc 1144
2305 dec 740
2304 dec 741
2303 dec 742
2305 inc 1145
2317 inc 1146
2316 dec 743
2318 inc 1147
2319 inc 1148
2320 inc 1149
2322 inc 1150
2326 inc 1151
2335 inc 1152
2359 inc 1153
2351 dec 744
2353 inc 1154
2354 inc 1155
2356 inc 1156
2341 dec 745
2338 dec 746
2333 dec 747
2334 inc 1157
2333 dec 748
2344 inc 1158
2334 dec 749
2344 inc 1159
2323 dec 750
2341 inc 1160
2325 dec 751
2317 dec 752
2327 inc 1161
2323 dec 753
2321 dec 754
2312 dec 755
2297 dec 756
2302 inc 1162
2304 inc 1163
2315 inc 1164
2308 dec 757
2317 inc 1165
2330 inc 1166
2350 inc 1167
2360 inc 1168
2341 dec 758
2342 inc 1169
2341 dec 759
2342 inc 1170
2357 inc 1171
2363 inc 1172
2353 dec 760
2355 inc 1173
2352 dec 761
2354 inc 1174
2360 inc 1175
2361 inc 1176
2348 dec 762
2354 inc 1177
2355 inc 1178
2345 dec 763
2346 inc 1179
2347 inc 1180
2360 inc 1181
2358 dec 764
2360 inc 1182
2361 inc 1183
2364 inc 1184
2365 inc 1185
2354 dec 765
2361 inc 1186
2362 inc 1187
2373 inc 1188
2375 inc 1189
2373 dec 766
2365 dec 767
2346 dec 768
2362 inc 1190
2359 dec 769
2357 dec 770
2373 inc 1191
2397 inc 1192
2398 inc 1193
2394 dec 771
2396 inc 1194
2401 inc 1195
2421 inc 1196
2414 dec 772
2420 inc 1197
2406 dec 773
2407 inc 1198
2403 dec 774
2402 dec 775
2401 dec 776
2397 dec 777
2396 dec 778
2420 inc 1199
2444 inc 1200
2446 inc 1201
2428 dec 779
2427 dec 780
2428 inc 1202
2431 inc 1203
2429 dec 781
2433 inc 1204
2463 inc 1205
2487 inc 1206
2495 inc 1207
2524 inc 1208
2535 inc 1209
2542 inc 1210
2552 inc 1211
2575 inc 1212
2573 dec 782
2574 inc 1213
2568 dec 783
2576 inc 1214
2583 inc 1215
